run_id,task_id,robot_id,start_zone,goal_zone,static_path_length_m,candidate_corridor_count,mean_nearby_robot_count,max_corridor_queue_length,active_blockage_count,mean_peer_freshness_ms,task_load_count,actual_travel_time_s
run_1789030083,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,8296,120.0,6,96.94
run_1789031643,rnd_task_001,robot_8,North,South,69.49,2,1.5,1,101515,120.0,54,196.6
run_1789031643,rnd_task_002,robot_7,South,North,49.6,2,1.5,1,101515,120.0,54,534.6
run_1789031643,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,101515,120.0,54,221.4
run_1789031643,rnd_task_004,robot_3,North,North,21.2,1,1.5,1,101515,120.0,54,252.42
run_1789031643,rnd_task_005,robot_2,South,South,44.48,1,1.5,1,101515,120.0,54,243.82
run_1789031643,rnd_task_006,robot_8,South,South,34.06,1,1.5,1,101515,120.0,54,207.4
run_1789031643,rnd_task_007,robot_1,South,North,58.79,2,1.5,1,101515,120.0,54,186.0
run_1789031643,rnd_task_008,robot_4,North,North,40.35,1,1.5,1,101515,120.0,54,298.6
run_1789031643,rnd_task_009,robot_6,South,South,5.49,1,1.5,1,101515,120.0,54,144.9
run_1789031643,rnd_task_010,robot_8,South,North,40.66,2,1.5,1,101515,120.0,54,473.1
run_1789031643,rnd_task_011,robot_2,South,South,36.58,1,1.5,1,101515,120.0,54,195.4
run_1789031643,rnd_task_012,robot_3,North,North,14.28,1,1.5,1,101515,120.0,54,303.96
run_1789031643,rnd_task_013,robot_7,South,North,49.52,2,1.5,1,101515,120.0,54,135.5
run_1789031643,rnd_task_014,robot_6,South,North,27.14,2,1.5,1,101515,120.0,54,180.2
run_1789031643,rnd_task_015,robot_2,South,North,52.53,2,1.5,1,101515,120.0,54,343.7
run_1789031643,rnd_task_016,robot_7,North,North,48.45,1,1.5,1,101515,120.0,54,178.6
run_1789031643,rnd_task_017,robot_1,North,North,49.81,1,1.5,1,101515,120.0,54,167.5
run_1789031643,rnd_task_018,robot_5,South,North,58.74,2,1.5,1,101515,120.0,54,726.5
run_1789031643,rnd_task_019,robot_6,South,North,37.22,2,1.5,1,101515,120.0,54,225.3
run_1789031643,rnd_task_020,robot_7,North,North,30.9,1,1.5,1,101515,120.0,54,145.1
run_1789031643,rnd_task_021,robot_8,South,North,49.6,2,1.5,1,101515,120.0,54,221.5
run_1789031643,rnd_task_022,robot_2,North,North,29.64,1,1.5,1,101515,120.0,54,379.0
run_1789031643,rnd_task_023,robot_7,North,North,20.37,1,1.5,1,101515,120.0,54,155.0
run_1789031643,rnd_task_024,robot_6,North,North,39.01,1,1.5,1,101515,120.0,54,199.7
run_1789031643,rnd_task_025,robot_3,North,North,8.78,1,1.5,1,101515,120.0,54,103.5
run_1789031643,rnd_task_026,robot_1,North,North,12.21,1,1.5,1,101515,120.0,54,202.6
run_1789031643,rnd_task_027,robot_8,South,North,54.28,2,1.5,1,101515,120.0,54,599.7
run_1789031643,rnd_task_028,robot_7,South,South,35.06,1,1.5,1,101515,120.0,54,131.3
run_1789031643,rnd_task_029,robot_3,North,North,48.45,1,1.5,1,101515,120.0,54,659.42
run_1789031643,rnd_task_030,robot_6,North,North,28.09,1,1.5,1,101515,120.0,54,251.3
run_1789031643,rnd_task_031,robot_1,North,North,12.21,1,1.5,1,101515,120.0,54,73.2
run_1789031643,rnd_task_032,robot_5,North,North,42.56,1,1.5,1,101515,120.0,54,175.6
run_1789031643,rnd_task_033,robot_7,North,South,24.46,2,1.5,1,101515,120.0,54,437.1
run_1789031643,rnd_task_034,robot_2,South,South,5.36,1,1.5,1,101515,120.0,54,131.9
run_1789031643,rnd_task_035,robot_2,North,North,11.98,1,1.5,1,101515,120.0,54,172.02
run_1789031643,rnd_task_036,robot_6,South,South,31.81,1,1.5,1,101515,120.0,54,332.2
run_1789031643,rnd_task_037,robot_5,South,North,35.0,2,1.5,1,101515,120.0,54,160.42
run_1789031643,rnd_task_038,robot_4,South,South,29.25,1,1.5,1,101515,120.0,54,137.2
run_1789031643,rnd_task_039,robot_2,South,South,27.7,1,1.5,1,101515,120.0,54,191.3
run_1789031643,rnd_task_041,robot_5,North,South,48.52,2,1.5,1,101515,120.0,54,621.9
run_1789031643,rnd_task_042,robot_4,South,North,26.47,2,1.5,1,101515,120.0,54,525.7
run_1789031643,rnd_task_043,robot_3,North,North,15.49,1,1.5,1,101515,120.0,54,66.4
run_1789031643,rnd_task_044,robot_7,South,North,59.9,2,1.5,1,101515,120.0,54,156.8
run_1789031643,rnd_task_045,robot_3,North,North,55.69,1,1.5,1,101515,120.0,54,741.1
run_1789031643,rnd_task_046,robot_7,North,South,43.67,2,1.5,1,101515,120.0,54,176.4
run_1789031643,rnd_task_047,robot_2,North,North,54.25,1,1.5,1,101515,120.0,54,315.9
run_1789031643,rnd_task_048,robot_7,South,North,75.76,2,1.5,1,101515,120.0,54,308.2
run_1789031643,rnd_task_049,robot_6,North,South,14.92,2,1.5,1,101515,120.0,54,175.5
run_1789031643,rnd_task_050,robot_4,South,North,41.78,2,1.5,1,101515,120.0,54,129.9
run_1789035953,rnd_task_001,robot_8,North,South,69.49,2,1.5,1,36817,120.0,15,527.7
run_1789035953,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,36817,120.0,15,410.9
run_1789035953,rnd_task_004,robot_5,North,North,21.2,1,1.5,1,36817,120.0,15,162.6
run_1789035953,rnd_task_005,robot_2,South,South,44.48,1,1.5,1,36817,120.0,15,680.0
run_1789035953,rnd_task_007,robot_3,South,North,58.79,2,1.5,1,36817,120.0,15,269.7
run_1789035953,rnd_task_008,robot_4,North,North,40.35,1,1.5,1,36817,120.0,15,491.3
run_1789035953,rnd_task_009,robot_1,South,South,5.49,1,1.5,1,36817,120.0,15,182.7
run_1789035953,rnd_task_010,robot_7,South,North,40.66,2,1.5,1,36817,120.0,15,224.3
run_1789035953,rnd_task_012,robot_5,North,North,14.28,1,1.5,1,36817,120.0,15,139.0
run_1788949062,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,30557,120.0,6,86.9
run_1788949585,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,48668,120.0,6,96.2
run_1788950261,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,75459,120.0,8,150.0
run_1788950261,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,75459,120.0,8,99.1
run_1788950261,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,75459,120.0,8,195.9
run_1788951139,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,80586,120.0,8,160.6
run_1788951139,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,80586,120.0,8,105.9
run_1788951139,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,80586,120.0,8,185.9
run_1788963734,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,4257,120.0,8,126.4
run_1788963734,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,4257,120.0,8,38.6
run_1788963734,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,4257,120.0,8,70.9
run_1788963734,rnd_task_006,robot_1,South,South,34.06,1,1.5,1,4257,120.0,8,87.2
run_1788964354,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,6754,120.0,9,207.8
run_1788964354,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,6754,120.0,9,63.9
run_1788964354,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,6754,120.0,9,148.9
run_1788964354,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,6754,120.0,9,124.8
run_1788964354,rnd_task_006,robot_3,South,South,34.06,1,1.5,1,6754,120.0,9,138.8
run_1788964915,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,2759,120.0,9,121.7
run_1788964915,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,2759,120.0,9,88.9
run_1788964915,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,2759,120.0,9,85.4
run_1788964915,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,2759,120.0,9,105.7
run_1788965203,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,3100,120.0,8,122.1
run_1788965203,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,3100,120.0,8,84.9
run_1788965203,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,3100,120.0,8,69.0
run_1788965203,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,3100,120.0,8,111.2
run_1788965493,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,5037,120.0,8,131.7
run_1788965493,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,5037,120.0,8,78.7
run_1788965493,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,5037,120.0,8,62.3
run_1788965493,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,5037,120.0,8,129.9
run_1788965812,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,6290,120.0,9,132.8
run_1788965812,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,6290,120.0,9,174.4
run_1788965812,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,6290,120.0,9,112.4
run_1788965812,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,6290,120.0,9,134.2
run_1788966178,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,8506,120.0,9,194.4
run_1788966178,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,8506,120.0,9,101.5
run_1788966178,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,8506,120.0,9,77.9
run_1788966178,rnd_task_006,robot_1,South,South,34.06,1,1.5,1,8506,120.0,9,70.6
run_1788966645,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,4791,120.0,9,193.0
run_1788966645,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,4791,120.0,9,100.4
run_1788966645,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,4791,120.0,9,91.0
run_1788966645,rnd_task_006,robot_2,South,South,34.06,1,1.5,1,4791,120.0,9,112.5
run_1788967073,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,6032,120.0,8,195.0
run_1788967073,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,6032,120.0,8,138.4
run_1788967073,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,6032,120.0,8,150.2
run_1788967073,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,6032,120.0,8,99.5
run_1788967459,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,7498,120.0,9,221.8
run_1788967459,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,7498,120.0,9,49.2
run_1788967459,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,7498,120.0,9,131.5
run_1788967459,rnd_task_006,robot_1,South,South,34.06,1,1.5,1,7498,120.0,9,191.7
run_1788967943,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,6021,120.0,8,159.7
run_1788967943,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,6021,120.0,8,91.1
run_1788967943,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,6021,120.0,8,60.1
run_1788967943,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,6021,120.0,8,116.4
run_1788968291,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,3105,120.0,8,130.5
run_1788968291,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,3105,120.0,8,70.5
run_1788968291,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,3105,120.0,8,56.5
run_1788968291,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,3105,120.0,8,119.5
run_1788969018,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,53565,120.0,49,184.3
run_1788969018,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,53565,120.0,49,103.8
run_1788969018,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,53565,120.0,49,47.8
run_1788969018,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,53565,120.0,49,110.2
run_1788969018,rnd_task_006,robot_1,South,South,34.06,1,1.5,1,53565,120.0,49,71.6
run_1788969018,rnd_task_007,robot_3,South,North,58.79,2,1.5,1,53565,120.0,49,130.7
run_1788969018,rnd_task_008,robot_2,North,North,40.35,1,1.5,1,53565,120.0,49,157.8
run_1788969018,rnd_task_009,robot_1,South,South,5.49,1,1.5,1,53565,120.0,49,71.3
run_1788969018,rnd_task_010,robot_4,South,North,40.66,2,1.5,1,53565,120.0,49,94.9
run_1788969018,rnd_task_011,robot_1,South,South,36.58,1,1.5,1,53565,120.0,49,169.5
run_1788969018,rnd_task_012,robot_3,North,North,14.28,1,1.5,1,53565,120.0,49,146.2
run_1788969018,rnd_task_013,robot_2,South,North,49.52,2,1.5,1,53565,120.0,49,126.0
run_1788969018,rnd_task_014,robot_4,South,North,27.14,2,1.5,1,53565,120.0,49,137.7
run_1788969018,rnd_task_016,robot_1,North,North,48.45,1,1.5,1,53565,120.0,49,179.1
run_1788969018,rnd_task_017,robot_3,North,North,49.81,1,1.5,1,53565,120.0,49,86.9
run_1788969018,rnd_task_018,robot_2,South,North,58.74,2,1.5,1,53565,120.0,49,120.8
run_1788969018,rnd_task_019,robot_4,South,North,37.22,2,1.5,1,53565,120.0,49,150.2
run_1788969018,rnd_task_020,robot_3,North,North,30.9,1,1.5,1,53565,120.0,49,115.9
run_1788969018,rnd_task_021,robot_2,South,North,49.6,2,1.5,1,53565,120.0,49,189.7
run_1788969018,rnd_task_022,robot_1,North,North,29.64,1,1.5,1,53565,120.0,49,133.1
run_1788969018,rnd_task_023,robot_4,North,North,20.37,1,1.5,1,53565,120.0,49,49.6
run_1788969018,rnd_task_024,robot_3,North,North,39.01,1,1.5,1,53565,120.0,49,133.7
run_1788969018,rnd_task_026,robot_4,North,North,12.21,1,1.5,1,53565,120.0,49,61.4
run_1788969018,rnd_task_027,robot_1,South,North,54.28,2,1.5,1,53565,120.0,49,212.7
run_1788969018,rnd_task_028,robot_4,South,South,35.06,1,1.5,1,53565,120.0,49,107.6
run_1788969018,rnd_task_029,robot_2,North,North,48.45,1,1.5,1,53565,120.0,49,195.5
run_1788969018,rnd_task_030,robot_3,North,North,28.09,1,1.5,1,53565,120.0,49,65.5
run_1788969018,rnd_task_031,robot_3,North,North,12.21,1,1.5,1,53565,120.0,49,90.0
run_1788969018,rnd_task_032,robot_4,North,North,42.56,1,1.5,1,53565,120.0,49,109.5
run_1788969018,rnd_task_033,robot_3,North,South,24.46,2,1.5,1,53565,120.0,49,137.4
run_1788969018,rnd_task_034,robot_1,South,South,5.36,1,1.5,1,53565,120.0,49,94.8
run_1788969018,rnd_task_036,robot_4,South,South,31.81,1,1.5,1,53565,120.0,49,125.9
run_1788969018,rnd_task_037,robot_2,South,North,35.0,2,1.5,1,53565,120.0,49,130.6
run_1788969018,rnd_task_038,robot_1,South,South,29.25,1,1.5,1,53565,120.0,49,63.2
run_1788969018,rnd_task_039,robot_3,South,South,27.7,1,1.5,1,53565,120.0,49,114.7
run_1788969018,rnd_task_040,robot_4,North,South,76.31,2,1.5,1,53565,120.0,49,133.3
run_1788969018,rnd_task_041,robot_2,North,South,48.52,2,1.5,1,53565,120.0,49,122.9
run_1788969018,rnd_task_042,robot_1,South,North,26.47,2,1.5,1,53565,120.0,49,110.1
run_1788969018,rnd_task_043,robot_3,North,North,15.49,1,1.5,1,53565,120.0,49,48.6
run_1788969018,rnd_task_044,robot_1,South,North,59.9,2,1.5,1,53565,120.0,49,152.1
run_1788973352,rnd_task_001,robot_4,North,South,69.49,2,1.5,1,29978,120.0,50,155.51
run_1788973352,rnd_task_002,robot_3,South,North,49.6,2,1.5,1,29978,120.0,50,76.91
run_1788973352,rnd_task_003,robot_1,South,South,14.92,1,1.5,1,29978,120.0,50,69.71
run_1788973352,rnd_task_004,robot_2,North,North,21.2,1,1.5,1,29978,120.0,50,118.81
run_1788973352,rnd_task_006,robot_1,South,South,34.06,1,1.5,1,29978,120.0,50,116.71
run_1788973352,rnd_task_007,robot_3,South,North,58.79,2,1.5,1,29978,120.0,50,214.4
run_1788973352,rnd_task_008,robot_2,North,North,40.35,1,1.5,1,29978,120.0,50,132.0
run_1788973352,rnd_task_009,robot_4,South,South,5.49,1,1.5,1,29978,120.0,50,82.0
run_1788973352,rnd_task_010,robot_1,South,North,40.66,2,1.5,1,29978,120.0,50,73.52
run_1788973352,rnd_task_011,robot_4,South,South,36.58,1,1.5,1,29978,120.0,50,109.89
run_1788973352,rnd_task_012,robot_2,North,North,14.28,1,1.5,1,29978,120.0,50,106.81
run_1788973352,rnd_task_013,robot_1,South,North,49.52,2,1.5,1,29978,120.0,50,124.49
run_1788973352,rnd_task_014,robot_3,South,North,27.14,2,1.5,1,29978,120.0,50,172.78
run_1788973352,rnd_task_016,robot_4,North,North,48.45,1,1.5,1,29978,120.0,50,607.1
run_1788973352,rnd_task_017,robot_2,North,North,49.81,1,1.5,1,29978,120.0,50,180.51
run_1788973352,rnd_task_018,robot_1,South,North,58.74,2,1.5,1,29978,120.0,50,661.12
run_1788973352,rnd_task_019,robot_3,South,North,37.22,2,1.5,1,29978,120.0,50,174.93
run_1788973352,rnd_task_020,robot_2,North,North,30.9,1,1.5,1,29978,120.0,50,93.0
run_1788973352,rnd_task_022,robot_3,North,North,29.64,1,1.5,1,29978,120.0,50,88.29
run_1788973352,rnd_task_023,robot_2,North,North,20.37,1,1.5,1,29978,120.0,50,143.31
run_1788973352,rnd_task_024,robot_3,North,North,39.01,1,1.5,1,29978,120.0,50,146.41
